cityName,stateName,cityCode,locationType,aliasCityName,weightage
Shankarpura,Karnataka,MMTCC10031,CITY,,5000

Bagalkot,Karnataka,MMTCC1080,CITY,,270
Chitradurga,Karnataka,MMTCC1170,CITY,,449
Shegaon (Buldhana),Maharashtra,MMTCC48734,CITY,,361
Sankagiri,Tamil Nadu,MMTCC1799,CITY,,1428
Keelakarai,Tamil Nadu,MMTCC1431,CITY,,761
Humcha,Karnataka,MMTCC6263,CITY,,5000
Bhusawal,Maharashtra,MMTCC5573,CITY,,337
Mallapura,Karnataka,MMTCC9992,CITY,,5000
Udayagiri (Andhra Pradesh),Andhra Pradesh,MMTCC49028,CITY,,968
Revendrapadu,Andhra Pradesh,MMTCC8124,CITY,,5000
Namsai,Arunachal Pradesh,MMTCC10762,CITY,,1868
Bharapar,Gujarat,MMTCC10153,CITY,,5000
Kishanganj,Bihar,MMTCC7364,CITY,,625
Sivagiri (tirunelveli),Tamil Nadu,MMTCC50104,CITY,,1020
Gandhinagar (Gujarat),Gujarat,MMTCC49481,CITY,,69
Savda,Maharashtra,MMTCC6027,CITY,,864
Bajagoli,Karnataka,MMTCC7499,CITY,,2075
Uppinangadi,Karnataka,MMTCC6469,CITY,,1164
Agra,Uttar Pradesh,MMTCC3641,CITY,,36
Aurangabad,Maharashtra,MMTCC1070,CITY,,27
Kandalur,Karnataka,MMTCC7092,CITY,,5000
Chalisgaon,Maharashtra,MMTCC2092,CITY,,533
Phillaur,Punjab,MMTCC10818,CITY,,2075
Miraj,Maharashtra,MMTCC1582,CITY,,200
Kollam,Kerala,MMTCC1455,CITY,,181
Bailhongal,Karnataka,MMTCC11167,CITY,,543
Sangamner,Maharashtra,MMTCC1797,CITY,,787
Alwar,Rajasthan,MMTCC2655,CITY,,1051
Suntikoppa,Karnataka,MMTCC5458,CITY,,5000
Taliparamba,Kerala,MMTCC6165,CITY,,530
Jagun,Assam,MMTCC10733,CITY,,2213
Bhawanipatna,Odisha,MMTCC5477,CITY,,426
Kanchipuram,Tamil Nadu,MMTCC6662,CITY,,352
Haliyal,Karnataka,MMTCC6973,CITY,,1154
Harur,Tamil Nadu,MMTCC1298,CITY,,5000
Khanna,Punjab,MMTCC3684,CITY,,1342
Mudukulathur,Tamil Nadu,MMTCC10129,CITY,,1255
Raxaul,Bihar,MMTCC10461,CITY,,5000
Chavakkad,Kerala,MMTCC1153,CITY,,5000
Sambalpur,Odisha,MMTCC5483,CITY,,597
Ponkunnam,Kerala,MMTCC1733,CITY,,1826
Villupuram,Tamil Nadu,MMTCC1997,CITY,,219
Koratty,Kerala,MMTCC6284,CITY,,1391
Kavoor,Karnataka,MMTCC1427,CITY,,5000
Saligrama(Udupi),Karnataka,MMTCC6623,CITY,,1115
Manamelkudi,Tamil Nadu,MMTCC11174,CITY,,858
Kerur,Karnataka,MMTCC10014,CITY,,2006
Chithode,Tamil Nadu,MMTCC6954,CITY,,1647
Cherupuzha,Kerala,MMTCC1161,CITY,,1035
Khamgaon,Maharashtra,MMTCC1435,CITY,,366
Sathyamangalam,Tamil Nadu,MMTCC7046,CITY,,429
Karad,Maharashtra,MMTCC1401,CITY,,185
Darwha,Maharashtra,MMTCC6958,CITY,,1679
Kalyan,Maharashtra,MMTCC2138,CITY,,161
Hospet,Karnataka,MMTCC1314,CITY,,140
Indore,Madhya Pradesh,MMTCC1324,CITY,,9
Virpur,Gujarat,MMTCC2000,CITY,,676
Kampli,Karnataka,MMTCC7529,CITY,,1312
Kattu Mavidi,Tamil Nadu,MMTCC49719,CITY,,1647
Mahuva(Gujarat),Gujarat,MMTCC47541,CITY,,5000
Sringeri,Karnataka,MMTCC1854,CITY,,640
Godhra,Gujarat,MMTCC10945,CITY,,485
Iritty,Kerala,MMTCC1329,CITY,,503
Bhilwara,Rajasthan,MMTCC1114,CITY,,166
Dhanera,Gujarat,MMTCC6187,CITY,,1154
Udgir,Maharashtra,MMTCC1942,CITY,,315
Kanyakumari,Tamil Nadu,MMTCC1398,CITY,,350
Mahabaleshwar,Maharashtra,MMTCC1528,CITY,,167
Arsikere,Karnataka,MMTCC6473,CITY,,5000
Mettur,Tamil Nadu,MMTCC1580,CITY,,587
Harmannu,Karnataka,MMTCC9172,CITY,,5000
Cuttack,Odisha,MMTCC5502,CITY,,87
Shankaranarayana,Karnataka,MMTCC7960,CITY,,1962
Lonavala,Maharashtra,MMTCC1516,CITY,,284
